fecha,latitud,longitud,alcaldia,colonia,temp,precip,humedad,viento,radiacion,presion,incidente
2019-06-20,19.472029,-99.061749,GUSTAVO A. MADERO,LA PRADERA I (U HAB),17.97,3.26,67.72,0.85,6.1462,74.6,Inundacion
2019-06-20,19.472029,-99.061749,GUSTAVO A. MADERO,LA PRADERA I (U HAB),17.97,3.26,67.72,0.85,6.1462,74.6,Inundacion
2019-06-20,19.34731,-99.018079,IZTAPALAPA,XALPA II,17.97,3.26,67.72,0.85,6.1462,74.6,Encharcamiento
2019-06-20,19.492763,-99.079987,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.390449,-99.081376,IZTAPALAPA,REAL DEL MORAL (FRACC),18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.472029,-99.061749,GUSTAVO A. MADERO,LA PRADERA I (U HAB),17.97,3.26,67.72,0.85,6.1462,74.6,Inundacion
2019-06-20,19.472029,-99.061749,GUSTAVO A. MADERO,LA PRADERA I (U HAB),17.97,3.26,67.72,0.85,6.1462,74.6,Inundacion
2019-06-20,19.472029,-99.061749,GUSTAVO A. MADERO,LA PRADERA I (U HAB),17.97,3.26,67.72,0.85,6.1462,74.6,Inundacion
2019-06-20,19.490369,-99.077019,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.490369,-99.077019,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.502949,-99.081203,GUSTAVO A. MADERO,NUEVA ATZACOALCO I,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.498671,-99.076285,GUSTAVO A. MADERO,SAN FELIPE DE JESUS III,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.489645,-99.070502,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.505935,-99.087341,GUSTAVO A. MADERO,JUAN GONZALEZ ROMERO,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.501777,-99.091754,GUSTAVO A. MADERO,VILLA HERMOSA,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.49073,-99.073176,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.545717,-99.133874,GUSTAVO A. MADERO,AHUEHUETES,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.501367,-99.071734,GUSTAVO A. MADERO,SAN FELIPE DE JESUS,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.490369,-99.077019,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.490369,-99.077019,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.490042,-99.07143,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,18.04,3.2,66.66,0.79,6.1462,74.65,Encharcamiento
2019-06-21,19.51096,-99.201776,AZCAPOTZALCO,EL ROSARIO B (U HAB),17.95,3.64,68.61,0.42,5.9359,74.69,Encharcamiento
2019-06-21,19.51096,-99.201776,AZCAPOTZALCO,EL ROSARIO B (U HAB),17.95,3.64,68.61,0.42,5.9359,74.69,Encharcamiento
2019-06-20,19.495336,-99.074058,GUSTAVO A. MADERO,SAN FELIPE DE JESUS IV,18.04,3.2,66.66,0.79,6.1462,74.65,Encharcamiento
2019-06-21,19.490807,-99.081392,GUSTAVO A. MADERO,SAN FELIPE DE JESUS II,17.95,3.64,68.61,0.42,5.9359,74.69,Encharcamiento
2019-06-20,19.487156,-99.068543,GUSTAVO A. MADERO,PROVIDENCIA II,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-03-27,19.259276,-99.085282,XOCHIMILCO,CALTONGO (BARR),12.87,0.0,46.89,1.65,7.9366,74.79,Encharcamiento
2019-06-13,19.324784,-99.152987,COYOACAN,AJUSCO I,15.8,3.38,73.23,1.43,4.133,74.75,Inundacion
2019-06-13,19.324784,-99.152987,COYOACAN,AJUSCO I,15.8,3.38,73.23,1.43,4.133,74.75,Inundacion
2019-06-13,19.324784,-99.152987,COYOACAN,AJUSCO I,15.8,3.38,73.23,1.43,4.133,74.75,Encharcamiento
2019-06-13,19.270806,-99.180909,TLALPAN,LOS VOLCANES,15.8,3.38,73.23,1.43,4.133,74.75,Inundacion
2019-06-13,19.297192,-99.149864,TLALPAN,SAN LORENZO HUIPULCO,15.8,3.38,73.23,1.43,4.133,74.75,Inundacion
2019-06-13,19.309076,-99.144817,COYOACAN,SANTA URSULA COAPA (PBLO),15.8,3.38,73.23,1.43,4.133,74.75,Inundacion
2019-06-13,19.309076,-99.144817,COYOACAN,SANTA URSULA COAPA (PBLO),15.8,3.38,73.23,1.43,4.133,74.75,Inundacion
